category,category_id,group,ap_iou_0.5,precision_iou_0.5,recall_iou_0.5,f1_score_iou_0.5,tp_iou_0.5,fp_iou_0.5,fn_iou_0.5,ap_iou_0.75,precision_iou_0.75,recall_iou_0.75,f1_score_iou_0.75,tp_iou_0.75,fp_iou_0.75,fn_iou_0.75,classification_precision,classification_recall,classification_f1,classification_support,gt_count,pred_count
탑,0,상의,0.2285,0.5735,0.2737,0.3705,78,58,207,0.2193,0.5294,0.2526,0.342,72,64,213,0.2558,0.1009,0.1447,109,109,43
블라우스,1,상의,0.5309,0.6426,0.6164,0.6292,196,109,122,0.5254,0.6361,0.6101,0.6228,194,111,124,0.5789,0.3905,0.4664,169,169,114
티셔츠,2,상의,0.4754,0.6809,0.5717,0.6215,335,157,251,0.4634,0.6524,0.5478,0.5955,321,171,265,0.5185,0.3684,0.4308,228,228,162
니트웨어,3,상의,0.3736,0.6,0.4845,0.5361,141,94,150,0.3671,0.583,0.4708,0.5209,137,98,154,0.459,0.2569,0.3294,109,109,61
셔츠,4,상의,0.5298,0.6402,0.6096,0.6245,153,86,98,0.4676,0.6234,0.5936,0.6082,149,90,102,0.5806,0.4286,0.4932,168,168,124
브라탑,5,상의,0.1273,0.25,0.1111,0.1538,2,6,16,0.1273,0.25,0.1111,0.1538,2,6,16,0.4286,0.3333,0.375,9,9,7
후드티,6,상의,0.5895,0.8291,0.6968,0.7572,131,27,57,0.579,0.8101,0.6809,0.7399,128,30,60,0.7217,0.6535,0.686,127,127,115
청바지,7,하의,0.7586,0.8407,0.8343,0.8375,554,105,110,0.663,0.7906,0.7846,0.7876,521,138,143,0.4553,0.693,0.5496,228,228,347
팬츠,8,하의,0.6682,0.8121,0.7687,0.7898,618,143,186,0.6402,0.7595,0.7189,0.7387,578,183,226,0.4619,0.5897,0.518,329,329,420
스커트,9,하의,0.785,0.8479,0.8721,0.8598,457,82,67,0.7716,0.8052,0.8282,0.8166,434,105,90,0.4767,0.7532,0.5839,231,231,365
레깅스,10,하의,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.433,0.6,0.503,70,0,0
조거팬츠,11,하의,0.6439,0.7676,0.7676,0.7676,109,33,33,0.6267,0.7254,0.7254,0.7254,103,39,39,0.836,0.7861,0.8103,201,70,97
코트,12,아우터,0.6936,0.8068,0.7804,0.7933,167,40,47,0.6894,0.7923,0.7664,0.7791,164,43,50,0.6885,0.5753,0.6269,219,201,189
재킷,13,아우터,0.5682,0.7137,0.6667,0.6894,172,69,86,0.5607,0.7012,0.655,0.6774,169,72,89,0.696,0.5058,0.5859,172,219,183
점퍼,14,아우터,0.4283,0.6627,0.5759,0.6162,110,56,81,0.407,0.6446,0.5602,0.5994,107,59,84,0.9167,0.875,0.8953,176,172,125
패딩,15,아우터,0.8095,0.9209,0.8717,0.8956,163,14,24,0.7978,0.904,0.8556,0.8791,160,17,27,0.4865,0.7826,0.6,92,176,168
베스트,16,아우터,0.7471,0.7754,0.8146,0.7945,145,42,33,0.6634,0.7487,0.7865,0.7671,140,47,38,0.6031,0.5267,0.5623,150,92,148
가디건,17,아우터,0.5383,0.6474,0.6212,0.634,123,67,75,0.5362,0.6421,0.6162,0.6289,122,68,76,0.5,0.6667,0.5714,60,150,131
짚업,18,아우터,0.5083,0.4906,0.6753,0.5683,52,54,25,0.5035,0.4811,0.6623,0.5574,51,55,26,0.8333,0.75,0.7895,240,60,80
드레스,19,원피스,0.7011,0.823,0.7692,0.7952,200,43,60,0.6735,0.7819,0.7308,0.7555,190,53,70,0.9068,0.8639,0.8848,169,240,216
점프수트,20,원피스,0.7819,0.8647,0.8698,0.8673,147,23,22,0.7766,0.8588,0.8639,0.8614,146,24,23,0.0,0.0,0.0,0,169,161
